Query Results (1465 answers): 
x       | y                                
A038207 | N.J.A.Sloane                     
A016098 | RobertG.Wilsonv                  
A017197 | N.J.A.Sloane                     
A036378 | LabosElemer                      
A006880 | SimonPlouffe                     
A003269 | N.J.A.Sloane                     
A010058 | N.J.A.Sloane                     
A008306 | N.J.A.Sloane                     
A002882 | N.J.A.Sloane                     
A003094 | N.J.A.Sloane                     
A000228 | N.J.A.Sloane                     
A028233 | MarcLeBrun                       
A028859 | N.J.A.Sloane                     
A026430 | ClarkKimberling                  
A035230 | BarryBrent                       
A002280 | N.J.A.Sloane                     
A004208 | N.J.A.Sloane                     
A034947 | N.J.A.Sloane                     
A033879 | N.J.A.Sloane                     
A049347 | WolfdieterLang                   
A005811 | SimonPlouffe                     
A000792 | N.J.A.Sloane                     
A006527 | N.J.A.Sloane                     
A005369 | N.J.A.Sloane                     
A000240 | SimonPlouffe                     
A053119 | WolfdieterLang                   
A005709 | N.J.A.Sloane                     
A006003 | SimonPlouffe                     
A000378 | N.J.A.Sloane                     
A020701 | DavidW.Wilson                    
A038503 | FrankRuskey                      
A000638 | N.J.A.Sloane                     
A003277 | RichardStanley                   
A010701 | N.J.A.Sloane                     
A005212 | RussCox                          
A030196 | DavidW.Wilson                    
A051601 | AsherAuel                        
A010059 | N.J.A.Sloane                     
A000594 | N.J.A.Sloane                     
A014630 | MohammadK.Azarian                
A047566 | N.J.A.Sloane                     
A014551 | EricW.Weisstein                  
A014138 | N.J.A.Sloane                     
A000523 | N.J.A.Sloane                     
A032351 | MiklosBona                       
A004605 | N.J.A.Sloane                     
A000498 | RobertG.Wilsonv                  
A033306 | N.J.A.Sloane                     
A033197 | N.J.A.Sloane                     
A000351 | N.J.A.Sloane                     
A004068 | AlbertD.Rich                     
A033880 | N.J.A.Sloane                     
A000105 | N.J.A.Sloane                     
A005359 | RussCox                          
A000732 | SimonPlouffe                     
A003056 | N.J.A.Sloane                     
A021083 | N.J.A.Sloane                     
A005100 | N.J.A.Sloane                     
A000048 | N.J.A.Sloane                     
A009995 | N.J.A.Sloane                     
A001653 | N.J.A.Sloane                     
A006881 | SimonPlouffe                     
A020474 | N.J.A.Sloane                     
A023022 | DavidW.Wilson                    
A035345 | N.J.A.Sloane                     
A010373 | N.J.A.Sloane                     
A001221 | N.J.A.Sloane                     
A004009 | N.J.A.Sloane                     
A049503 | N.J.A.Sloane                     
A046056 | EricW.Weisstein                  
A034386 | N.J.A.Sloane                     
A020725 | N.J.A.Sloane                     
A006503 | N.J.A.Sloane                     
A036361 | N.J.A.Sloane                     
A039598 | N.J.A.Sloane                     
A030078 | PatrickDeGeest                   
A002276 | N.J.A.Sloane                     
A027926 | ClarkKimberling                  
A005708 | N.J.A.Sloane                     
A000106 | N.J.A.Sloane                     
A001651 | N.J.A.Sloane                     
A007504 | RobertG.Wilsonv                  
A006533 | BjornPoonen                      
A000796 | N.J.A.Sloane                     
A015305 | OlivierGA(c)rard                 
A008864 | R.K.Guy                          
A037213 | N.J.A.Sloane                     
A005160 | N.J.A.Sloane                     
A005809 | N.J.A.Sloane                     
A001003 | N.J.A.Sloane                     
A005882 | N.J.A.Sloane                     
A000304 | N.J.A.Sloane                     
A004187 | R.K.Guy                          
A049120 | WolfdieterLang                   
A001678 | N.J.A.Sloane                     
A003072 | DavidW.Wilson                    
A002054 | N.J.A.Sloane                     
A007501 | RobertG.Wilsonv                  
A034836 | ErichFriedman                    
A000035 | N.J.A.Sloane                     
